epoch, lr, running_loss, running_acc, val_loss, val_acc
0.0000000000, 0.0300000000, 1.7578974684, 0.4000365450, 1.4026781321, 0.4865434468
1.0000000000, 0.0300000000, 0.8896447064, 0.7641490891, 1.0371563435, 0.7516072392
2.0000000000, 0.0300000000, 0.6925408051, 0.8383457746, 1.0549199581, 0.7950440049
3.0000000000, 0.0300000000, 0.6382741274, 0.8481080253, 1.0520027876, 0.8110373616
4.0000000000, 0.0300000000, 0.5569386982, 0.8634891092, 0.9666700959, 0.7989227176
5.0000000000, 0.0300000000, 0.6346476411, 0.8442468868, 2.8972508907, 0.6455367208
6.0000000000, 0.0300000000, 0.5274975548, 0.8679426258, 0.9129831195, 0.8209308982
7.0000000000, 0.0300000000, 0.8121867486, 0.7849840026, 0.9465698004, 0.7954677343
8.0000000000, 0.0300000000, 0.6349115832, 0.8380358591, 0.8239846230, 0.7911505699
9.0000000000, 0.0300000000, 0.6113251541, 0.8478106051, 1.0405021906, 0.7647185922
10.0000000000, 0.0300000000, 0.5844095148, 0.8526317957, 0.8574786186, 0.7951161265
11.0000000000, 0.0210000000, 0.4909804936, 0.8730459693, 0.8286263347, 0.8352218270
12.0000000000, 0.0210000000, 0.5785650460, 0.8546350289, 0.8741866350, 0.7970017195
13.0000000000, 0.0210000000, 0.5061108617, 0.8705057780, 0.6687783599, 0.8341261744
14.0000000000, 0.0210000000, 0.5025319918, 0.8699996851, 0.9426546693, 0.7854880095
15.0000000000, 0.0210000000, 0.4908777800, 0.8716981620, 0.7159373164, 0.8465826511
16.0000000000, 0.0210000000, 0.5227146683, 0.8671605092, 0.9421145320, 0.8199896216
17.0000000000, 0.0210000000, 0.5327964967, 0.8673385993, 0.7303118706, 0.8299958706
18.0000000000, 0.0210000000, 0.4490247624, 0.8816820329, 0.7880211473, 0.8121716380
19.0000000000, 0.0210000000, 0.5005990395, 0.8740698780, 0.8553551435, 0.8184248805
20.0000000000, 0.0147000000, 0.3927700175, 0.8971490101, 0.9609774351, 0.8309887052
21.0000000000, 0.0147000000, 0.3778609784, 0.8989359450, 0.6814495325, 0.8194731474
22.0000000000, 0.0147000000, 0.4114553267, 0.8900168445, 0.8956221938, 0.8051983118
23.0000000000, 0.0147000000, 0.4825954782, 0.8771133322, 0.8626323938, 0.8257750869
24.0000000000, 0.0102900000, 0.3738252010, 0.9020044068, 0.6658658981, 0.8163776994
