epoch, lr, running_loss, running_acc, val_loss, val_acc
0.0000000000, 0.0300000000, 1.6884605691, 0.5584730529, 1.1640470028, 0.6803893447
1.0000000000, 0.0300000000, 0.6947948627, 0.8298388232, 0.8445271254, 0.7813459635
2.0000000000, 0.0300000000, 0.5620409753, 0.8660700252, 0.8047762513, 0.8261652589
3.0000000000, 0.0300000000, 0.4180503666, 0.8956797332, 0.7466714978, 0.7704403400
4.0000000000, 0.0300000000, 0.4226522063, 0.8940367846, 0.6700608730, 0.8428138494
5.0000000000, 0.0300000000, 0.5246997541, 0.8756789952, 0.7917463779, 0.8321678042
6.0000000000, 0.0300000000, 0.4547155298, 0.8867311060, 0.8801625967, 0.8313673735
7.0000000000, 0.0300000000, 0.3890626454, 0.9001608158, 0.6876717806, 0.8439971209
8.0000000000, 0.0300000000, 0.4940621954, 0.8794796064, 0.7047908902, 0.8455494046
9.0000000000, 0.0210000000, 0.3252457942, 0.9177214256, 0.7160555720, 0.8281650543
10.0000000000, 0.0210000000, 0.4361822414, 0.8875202173, 0.7688446641, 0.8174152970
11.0000000000, 0.0210000000, 0.3571538085, 0.9058805766, 0.6352015734, 0.8498507738
12.0000000000, 0.0210000000, 0.4402121468, 0.8903937100, 1.0251759291, 0.8012620211
13.0000000000, 0.0210000000, 0.4450687805, 0.8898056366, 0.6489124894, 0.8356308937
14.0000000000, 0.0210000000, 0.3252272360, 0.9140250218, 0.7685808539, 0.8433011770
15.0000000000, 0.0210000000, 0.3606921899, 0.9105011263, 4.7914276123, 0.5632610917
16.0000000000, 0.0147000000, 0.4250244835, 0.8930562526, 0.7268906832, 0.8263166547
17.0000000000, 0.0147000000, 0.2929676489, 0.9224448645, 0.6684424877, 0.8387664557
18.0000000000, 0.0147000000, 0.2882177187, 0.9246615466, 0.7376210093, 0.8121657968
19.0000000000, 0.0147000000, 0.3847673477, 0.9024927082, 0.7351912260, 0.8351619244
20.0000000000, 0.0102900000, 0.3031630384, 0.9227135839, 0.7431109548, 0.8346741796
