epoch, lr, running_loss, running_acc, val_loss, val_acc
0.0000000000, 0.0300000000, 2.1010636587, 0.2357180883, 2.4175021648, 0.0521041825
1.0000000000, 0.0300000000, 1.5586609686, 0.3503929539, 2.5355339050, 0.1100810766
2.0000000000, 0.0300000000, 1.3267894921, 0.4447317344, 2.4354324341, 0.1630503386
3.0000000000, 0.0300000000, 1.0862863366, 0.5654005362, 1.6983438730, 0.3771884441
4.0000000000, 0.0300000000, 1.0756261465, 0.5667724447, 1.4447358847, 0.5865605474
5.0000000000, 0.0300000000, 0.9567824819, 0.6171757339, 1.4823410511, 0.4311407804
6.0000000000, 0.0300000000, 1.0518147411, 0.5831258549, 1.4629379511, 0.4131556749
7.0000000000, 0.0300000000, 0.9393100638, 0.6144919032, 1.8475712538, 0.3690932989
8.0000000000, 0.0300000000, 0.9543539502, 0.6100351338, 1.7503308058, 0.4575057030
9.0000000000, 0.0210000000, 0.9281199745, 0.6179869082, 1.3420981169, 0.5668588877
10.0000000000, 0.0210000000, 0.8746447075, 0.6412142871, 1.3070399761, 0.5525031090
11.0000000000, 0.0210000000, 0.9963338445, 0.6039088868, 1.3809241056, 0.6123600006
12.0000000000, 0.0210000000, 0.8560762305, 0.6419177380, 2.1328940392, 0.4287036657
13.0000000000, 0.0210000000, 0.8481519160, 0.6413341737, 1.2988388538, 0.6113017201
14.0000000000, 0.0210000000, 0.8310757899, 0.6535562517, 1.4348205328, 0.5578850508
15.0000000000, 0.0210000000, 0.8396406754, 0.6501797430, 1.4746131897, 0.5550112724
16.0000000000, 0.0147000000, 0.7570340200, 0.6767581725, 1.2769130468, 0.6133174300
17.0000000000, 0.0147000000, 0.7423629188, 0.6877266068, 1.2217482328, 0.6347491145
18.0000000000, 0.0147000000, 0.7448003462, 0.6861066416, 2.0038216114, 0.5129440427
19.0000000000, 0.0147000000, 0.7688190426, 0.6809637848, 1.3407731056, 0.6072146893
20.0000000000, 0.0147000000, 0.7270808611, 0.7088804810, 1.2937273979, 0.6608228087
21.0000000000, 0.0147000000, 0.9044295263, 0.6477163124, 1.5174380541, 0.4957923293
22.0000000000, 0.0147000000, 0.7995876058, 0.6765670281, 1.3207827806, 0.6253699660
23.0000000000, 0.0147000000, 0.6904539497, 0.7262635223, 1.2529034615, 0.6723680496
24.0000000000, 0.0147000000, 0.8033839820, 0.6831369230, 1.4544718266, 0.6324454546
25.0000000000, 0.0147000000, 0.7111541637, 0.7222084217, 1.3660651445, 0.6776412725
26.0000000000, 0.0147000000, 0.6681856242, 0.7445186400, 1.2261470556, 0.6692185402
27.0000000000, 0.0147000000, 0.7160782446, 0.7338708755, 1.3925359249, 0.5502624512
28.0000000000, 0.0147000000, 0.7277668103, 0.7356996529, 1.2329572439, 0.5696106553
29.0000000000, 0.0147000000, 0.6962224462, 0.7399838915, 1.2000333071, 0.6309937835
30.0000000000, 0.0102900000, 0.6056165281, 0.7651369301, 1.2500056028, 0.6750680208
31.0000000000, 0.0102900000, 0.5671407491, 0.7815455655, 1.2550755739, 0.6872892380
32.0000000000, 0.0102900000, 0.6245929936, 0.7603882660, 1.2169374228, 0.7050163150
33.0000000000, 0.0102900000, 0.6157401181, 0.7725916784, 1.1781783104, 0.6853161454
34.0000000000, 0.0102900000, 0.5666901821, 0.7899747274, 1.2570921183, 0.6605144739
35.0000000000, 0.0102900000, 0.5210402070, 0.8084547295, 1.2949501276, 0.6470624208
36.0000000000, 0.0102900000, 0.6127412377, 0.7704599693, 1.1798418760, 0.6989135742
37.0000000000, 0.0072030000, 0.5143891604, 0.8177976748, 1.1593731642, 0.6796283722
38.0000000000, 0.0072030000, 0.5044371552, 0.8150873989, 1.4031242132, 0.5574957728
39.0000000000, 0.0072030000, 0.5368217857, 0.7941695243, 1.2747387886, 0.6282940507
40.0000000000, 0.0072030000, 0.4796679929, 0.8229851289, 1.1990327835, 0.7034017444
41.0000000000, 0.0050421000, 0.4389049244, 0.8423304442, 1.1635640860, 0.7141315937
42.0000000000, 0.0050421000, 0.4126656311, 0.8537262787, 1.2312906981, 0.7265351415
43.0000000000, 0.0050421000, 0.4281553266, 0.8525911043, 1.2555530071, 0.7031232119
44.0000000000, 0.0050421000, 0.4092938939, 0.8577506116, 1.1852856874, 0.7145024538
45.0000000000, 0.0050421000, 0.3945846883, 0.8644450082, 1.4372234344, 0.6898688078
46.0000000000, 0.0050421000, 0.3935407342, 0.8651325246, 1.2160377502, 0.7332748771
47.0000000000, 0.0050421000, 0.4190286514, 0.8566748090, 1.3027011156, 0.6857513189
48.0000000000, 0.0050421000, 0.3769598839, 0.8735127937, 1.2366729975, 0.7459520102
49.0000000000, 0.0050421000, 0.3608592462, 0.8812390814, 1.2362407446, 0.7203294635
50.0000000000, 0.0050421000, 0.3767221903, 0.8732454723, 1.3281823397, 0.7127453089
51.0000000000, 0.0050421000, 0.4186926569, 0.8581483589, 1.4737304449, 0.6590191126
52.0000000000, 0.0050421000, 0.4188337167, 0.8595796599, 1.1652557850, 0.7444768548
53.0000000000, 0.0035294700, 0.3485697454, 0.8863253098, 1.2005367279, 0.7366083264
54.0000000000, 0.0035294700, 0.3594094348, 0.8770555653, 1.2012439966, 0.7336952090
55.0000000000, 0.0035294700, 0.3516348179, 0.8815774616, 1.2340087891, 0.7285867929
56.0000000000, 0.0035294700, 0.3308236580, 0.8915931459, 1.2725366354, 0.7309379578
57.0000000000, 0.0024706290, 0.3101824301, 0.9013418927, 1.2211475372, 0.7450100183
