epoch, lr, running_loss, running_acc, val_loss, val_acc
0.0000000000, 0.0300000000, 2.0604768264, 0.2191204392, 2.2519967556, 0.2461166978
1.0000000000, 0.0300000000, 1.3888350694, 0.4848335041, 2.1948351860, 0.3624840081
2.0000000000, 0.0300000000, 0.9978040209, 0.7333772159, 1.7499620914, 0.4576707184
3.0000000000, 0.0300000000, 0.8247859401, 0.7853101020, 1.2367967367, 0.7469218969
4.0000000000, 0.0300000000, 0.7031869029, 0.8140238949, 1.1451624632, 0.7778379917
5.0000000000, 0.0300000000, 0.9909917279, 0.7391776059, 1.2015753984, 0.7652505636
6.0000000000, 0.0300000000, 0.7479372032, 0.8071007342, 5.5239620209, 0.4562500119
7.0000000000, 0.0300000000, 0.7646027215, 0.7962372071, 1.3710354567, 0.6767991781
8.0000000000, 0.0300000000, 0.7347421267, 0.8036074182, 1.0757964849, 0.7703621984
9.0000000000, 0.0210000000, 0.6600929878, 0.8255594466, 0.9702184200, 0.7664840817
10.0000000000, 0.0210000000, 0.6931273024, 0.8118633651, 1.0511325598, 0.7496061325
11.0000000000, 0.0210000000, 0.5782701934, 0.8434727161, 0.9187355042, 0.7979432344
12.0000000000, 0.0210000000, 0.6477925770, 0.8230911385, 1.1015331745, 0.7712031007
13.0000000000, 0.0210000000, 0.6356297042, 0.8291607786, 0.9300608635, 0.7664811015
14.0000000000, 0.0210000000, 0.5791821422, 0.8437881756, 3.0265841484, 0.4423631728
15.0000000000, 0.0210000000, 0.6679404684, 0.8238402195, 1.1064743996, 0.7649933100
16.0000000000, 0.0147000000, 0.5253777678, 0.8588829714, 0.9475914240, 0.7704084516
17.0000000000, 0.0147000000, 0.5185423985, 0.8575685512, 0.9877945781, 0.7921566367
18.0000000000, 0.0147000000, 0.5185764730, 0.8574073593, 1.4229708910, 0.5571678281
19.0000000000, 0.0147000000, 0.4870799207, 0.8690548082, 1.1979345083, 0.7071650624
20.0000000000, 0.0102900000, 0.4588705971, 0.8713330255, 1.1258424520, 0.6848443747
