epoch, lr, running_loss, running_acc, val_loss, val_acc
0.0000000000, 0.0300000000, 1.9669543878, 0.3607904162, 1.7952520847, 0.4140231609
1.0000000000, 0.0300000000, 1.3938755971, 0.5706365389, 1.4896482229, 0.4933054447
2.0000000000, 0.0300000000, 1.0074705482, 0.7340689462, 1.0402113199, 0.6772129536
3.0000000000, 0.0300000000, 0.6800492922, 0.8289807697, 0.7740908265, 0.8026742339
4.0000000000, 0.0300000000, 0.5704824644, 0.8541811295, 0.7512852550, 0.8330746889
5.0000000000, 0.0300000000, 0.5292509581, 0.8613414889, 0.6736267805, 0.8196911216
6.0000000000, 0.0300000000, 0.5073012274, 0.8638098827, 0.6883021593, 0.8128876686
7.0000000000, 0.0300000000, 0.4801860856, 0.8669485325, 0.6716671586, 0.8188701272
8.0000000000, 0.0300000000, 0.4548513026, 0.8722276492, 0.6747245789, 0.8231136203
9.0000000000, 0.0210000000, 0.4261607336, 0.8777894920, 0.7078317404, 0.8034022450
10.0000000000, 0.0210000000, 0.4228505635, 0.8790288443, 0.7627678514, 0.7719561458
11.0000000000, 0.0210000000, 0.4146432943, 0.8803468267, 0.7004941106, 0.8210265636
12.0000000000, 0.0210000000, 0.3886425513, 0.8861618674, 0.7487960458, 0.8110169768
13.0000000000, 0.0147000000, 0.3671096528, 0.8926739346, 0.6400226951, 0.8191641569
